manufacturer,model,impedance_ohm,fs_hz,qts,qes,qms,vas_l,re_ohm,le_mh,sd_cm2,mms_g,mmd_g,cms_mm_per_n,rms_ns_per_m,bl_tm,xmax_mm,xmech_mm,vd_cm3,linear_travel_pp_mm,max_travel_pp_mm,xlin_mm,eta0_percent,ebp_hz,sensitivity_db,power_rms_w,power_handling_w,nominal_diameter_in,qa_as_printed,sensitivity_1w_1m_db,sensitivity_2v83_1m_db,le_frequency_hz,nominal_diameter_mm,overall_diameter_mm,overall_width_mm,overall_height_mm,overall_depth_mm,mounting_depth_mm,cutout_diameter_mm,bolt_circle_diameter_mm,mounting_hole_diameter_mm,mounting_hole_count,flange_thickness_mm,magnet_diameter_mm,magnet_depth_mm,voice_coil_diameter_mm,voice_coil_height_mm,voice_coil_former_height_mm,gap_height_mm,effective_diaphragm_diameter_mm,cone_dome_diameter_mm,ribbon_dimension_1_mm,ribbon_dimension_2_mm,overall_dimension_1_mm,overall_dimension_2_mm,overall_dimension_3_mm,cutout_dimension_1_mm,cutout_dimension_2_mm,tweeter_voice_coil_diameter_mm,tweeter_voice_coil_height_mm,tweeter_gap_height_mm,krm_microohm,erm,kxm_mh,exm,power_peak_w,frequency_min_hz,frequency_max_hz,crossover_frequency_hz,crossover_slope_db_per_oct,power_continuous_iec268_5_w,power_test_highpass_hz,power_test_highpass_slope_db_per_oct,net_weight_kg,magnet_weight_g,sensitivity_tolerance_db
Wavecor,TW030WA05,4,450,0.59,0.96,1.5,0.059,3.4,0.02,11.5,0.4,,0.31,,2,0.4,,,,,,,,91.5,,,,,,91.5,20000,30,115,,,,,,105,4.5,4,4,,,30.4,1.7,,2.5,,,,,,,,,,,,,100,0.85,3.3,0.56,,1500,25000,,,50,2000,12,0.59,260,
Wavecor,TW030WA07,8,470,0.68,1.19,1.6,0.059,6.3,0.028,11.5,0.37,,0.3,,2.4,0.4,,,,,,,,89,,,,,,89,20000,30,115,,,,,,105,4.5,4,4,,,30.4,1.7,,2.5,,,,,,,,,,,,,67,0.91,5.1,0.56,,1500,25000,,,50,2000,12,0.59,260,
Accuton,AS168-9-470,9,27,0.35,0.38,4.35,35.5,9,1,161,36,,0.97,,12.1,8,,,,,16,,,84,,,,,,84,,165.1,168,,,118,,,,,,,135,43,47,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,
Accuton,C158-6-851,6,31,0.28,0.29,5.09,25.7,6.07,0.77,113,18.5,,1.42,,8.7,5,,,,,5,,,88,,,,,,88,,165.1,158,,,90,,137,,,,,120,42,38,,,,,,,,,,,137,,,,,,,,,,,,,,,,,,,
Accuton,C168-6-890,6,41,0.44,0.49,4.42,15,5.1,0.2,123,21,,0.71,,7.5,5,,,,,5,,,87,,,,,,,,177.8,168,,,78,,,,,,,146,36,114,,,,,,,,,,,146,,,,,,,,,,,,,,,,,,,
Accuton,S220-6-222,6,25,0.26,0.27,3.83,89.68,6.52,0.36,224,32.15,,1.26,,10.95,5.25,,,,,,,,91.5,,,,,,91.5,,215.9,220,,,112.5,,191,,,,,120,49.5,55,,,,,,,,,,,191,,,,,,,,,,,,,,,,,,,
Atohm,C150DCR04,4,48,0.42,0.49,2.95,11.3,3.2,0.11,97.7,13.2,13.2,0.84,,5.18,11,,,,,,,,91,80,,,,,91,,150,150,,,,,,,,,,,,25,15.9,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atohm,C150DCR08,8,49,0.51,0.62,3.1,11.7,6.2,0.17,97.7,12.4,12.4,0.87,,6.36,11,,,,,,,,88,80,,,,,88,,150,,,,,,,,,,,,,25,16.3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atohm,LD150CR04,4,59.4,0.53,0.56,11.72,9.2,3.2,0.24,104.9,11.2,,0.64,,4.9,6,,,,,,,,91,100,,,,,91,,150,,,,,,,,,,,,,25,15,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atohm,LD230TDR04,4,38.6,0.31,0.34,3.42,21,3,0.47,240,68.1,,0.26,,12.1,13,,,,,,,,91,300,,,,,91,,230,,,,,,,,,,,,,50,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atohm,LD230TDR08,8,37.5,0.26,0.27,3.46,21,6.4,1.24,240,71.2,,0.26,,19.9,13,,,,,,,,89,300,,,,,89,,230,,,,,,,,,,,,,50,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atohm,LD230TDR08M,8,26.3,0.31,0.34,3.46,20,6.6,1.97,240,155,,0.23,,22.4,13.75,,,,,,,,83,300,,,,,83,,230,,,,,,,,,,,,,50,33.5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiotechnology,10C772510KAP,8,25,0.24,0.25,6,118,5.5,0.89,334,54.5,51,0.74,1.43,13.7,8.6,,,,,,,100,92,,200,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiotechnology,12B772510,8,25,0.3,0.34,2.5,250,5.5,1.03,515,61,54.3,0.66,3.8,12.4,8.6,,,,,,,73,94,,250,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiotechnology,15F1022510KAP,8,22,0.29,0.3,6.93,410,6,1.1,835,126,115,0.42,2.5,18.6,8.6,,,,,,,73,95,,400,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiotechnology,6A772006SD,8,34,0.32,0.38,2,44,5.5,0.18,172,21,19.7,1.04,2.24,8,8,,,,,,,89,90,,180,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurum Cantus,AC-130F1,8,35,0.27,0.3,3.1,35.962395172,7,0.35,95,9.7,,2.84,,6.1,5,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
